pid,Status,Project Address,Tel,Stewarding Chapter,Extracted State
895, current / ongoing  ," , J-5A ,Jhalana Institute Area,Jaipur,Rajasthan  302017 ", 91-141-2711018  ,"",RAJASTHAN
896, current / ongoing  ," , B-1/275 ,Central Park,Kalyani,West Bengal  741235 ", 011-91-3325820741  ,"",WEST BENGAL
897, completed - requirements ended  ," , Vill + P.O. Deulpur,,,,West Bengal  711411 ", +91 33 26290050/ +91 923189284  ,"",WEST BENGAL
899, current / ongoing  ," , A8, 31 Motilal street,T. Nagar ,Chennai,Tamil Nadu  600017 ", 011 91 9840173824  ,"",TAMIL NADU
900, completed - requirements ended  ," , C-128, AWHO Ved Vihar,Subhash Nagar,Secunderabad,Telangana  500015 ", +91 040  27990529  ,"",TELANGANA
901, completed - sustainable  ," , Center for Development,Ahmedabad,Gujarat,Gujarat   ", 91 079 2657 7016  ,"",GUJARAT
902, completed - requirements ended  ," , House #121,,,Maragodu Post,Kathelekad Vill.,Karnataka  571252 ",   ,"",KARNATAKA
903, completed - requirements ended  ," , ,,Kolkata,West Bengal   ",   ,"",WEST BENGAL
904, completed - requirements ended  ," , 417, Hossenpur,,Kolkata,West Bengal  700 107 ", 0091-33-2443 1520  ,"",WEST BENGAL
905, Support ended.  ," , 112/10, Civil Lines, Opp. Savatri School,,,Ajmer,Rajasthan  305006 ", 91-145-2420635  ,"",RAJASTHAN
906, completed - requirements ended  ," , Resident Society. Sector 8,84/424 Pratap Nagar ( Sanganer),Jaipur,Rajasthan  302033 ", (141) 2791573  ,"",RAJASTHAN
907, completed - requirements ended  ," , 128, Shivdaspur, Lahartara, Varanasi-221002 U.P. India,,Khadarawan- Phattupur,Uttar Pradesh  221002  ", 0542-2372191  ,"",UTTAR PRADESH
908, completed - requirements ended  ," , 14, Jangpura B,Mathura Road,,New Delhi,Delhi  110014 "," M-9810997490, 9211160905  ","",DELHI
909, completed - requirements ended  ," , No.2 Besant Avenue, Besant Nagar,,Chennai,Tamil Nadu  600090 ", 91-44-24915826  ,"",TAMIL NADU
910, current / ongoing  ," , Hanchipura Road, Saragur,H D Kote Taluk, Mysore District,Saragur,Karnataka  571121 ", 91 9591945162  ,"",KARNATAKA
911, completed - requirements ended  ," , C-183, Madhuban, Preet Vihar,,New Delhi 110092,,Uttar Pradesh   ", +91-11-65137806  ,"",DELHI
912, Support ended.  ," , Bairvan, Gangapur, ,Varanasi,UP,,Uttar Pradesh   "," +91-941-525-6472, +91-941-521-  ","",UTTAR PRADESH
913, completed - requirements ended  ," , Primary School, Muthireddygudem,,,Telangana  508116 ", 91-8685-645046  ,"",TELANGANA
915, completed - requirements ended  ," , 10/5 Jamir Lane, Second Floor,,Kolkata,West Bengal  700019 ", 91-33-24602229  ,"",WEST BENGAL
916, completed - requirements ended  ," , C 15 CHIRAGH ENCLAVE,,New Delhi,Delhi  110048 ", 91 11 26269915  ,"",DELHI
917, completed - requirements ended  ," , #15, G.R.Layout, Cholanayakanahalli, R.T.Nagar,Near Rajiv Gandhi Dental College,Bangalore,Karnataka  560032 ", +91-98452-61892  ,"",KARNATAKA
918, completed - requirements ended  ," , Tendulkar Smruti, In Front of Petrol pmp,,,Maharashtra  401603 ", 91 02520 222454  ,"",MAHARASHTRA
919, current / ongoing  ," , Asha Trust,Bhandahan Kalan,Varanasi,Uttar Pradesh  221116 ", 011 91 542 261 8201  ,"",UTTAR PRADESH
920, completed - requirements ended  ," , BP-139,Shalimar Bagh,New Delhi, India,Uttar Pradesh  110088 ", 011-27479009   ,"",DELHI
921, completed - requirements ended  ," , #119, Industrial Area, Metagalli,,,Mysore,Karnataka  570016 ", 91-821-2581113  ,"",KARNATAKA
925, current / ongoing  ," , GRAVIS, 3/458, 3/437, MM Colony,,Osian,Rajasthan  342008 ", 91-291-2785317  ,"",RAJASTHAN
926, completed - requirements ended  ," , Vishram,,Silvapura,Bangalore North,Karnataka  560090 ", 080-28466274  ,"",KARNATAKA
927, completed - requirements ended  ," , 1, Shivaji Nagar, Near Gas Claim Court, Behind MPEB Office,,,Bhopal,Madhya Pradesh  462016 ", 91-755-4293399  ,"",MADHYA PRADESH
928, Support ended.  ," , C/O Mr. Ishwer Dayal, Vidya Mandir Public School,,Karkarmodal Village, Site -4,,Sahibabad Industrial Area,Uttar Pradesh   ", 91-11-32947734  ,"",UTTAR PRADESH
930, completed - requirements ended  ," , 9-2, Balaji Street, Shanthi Nagar,Shanthi Nagar,Madurai,Tamil Nadu  625018 ", 0452-2660123  ,"",TAMIL NADU
931, current / ongoing  ," , IInd Floor, Building No. 252/1,Shahpur Jat,New Delhi,Delhi  110049 ", 0119810345783  ,"",DELHI
932, current / ongoing  ," , 1527,Golf Club Road,Yerwada Pune,Maharashtra  411006 ", 91-20-26692910  ,"",MAHARASHTRA
933, completed - requirements ended  ," , Isha Vidhya Matriculation School,Ikkarai Booluvampatti Post ,Sandegoundenpalayam ,Tamil Nadu  641109 ", 0422-265-1222  ,"",TAMIL NADU
934, completed - requirements ended  ," , At-Netaji Subash Marg,Near S.P Residence,Chatrapur,Orissa  761020 ", 011 91 9876543210  ,"",ODISHA
935, Proposal - Closed  ," , Pamohi,,P.O. Garchuk,,Guwahati,Assam  781035 ", 91-9864041711  ,"",ASSAM
937, completed - requirements ended  ," , ,,,Madhya Pradesh   ",   ,"",MADHYA PRADESH
941, completed - requirements ended  ," , Flat No.103/A, M. K. Apartments,,New Patliputra Colony,Patna,Bihar  800013 "," +91 612 2270307, +91 983503160  ","",BIHAR
947, completed - requirements ended  ," , Asha Trust, Village Reoti (South) ,P.O. Reoti,Bhaisahan,Uttar Pradesh  277209 ", 011 91 9335341150  ,"",UTTAR PRADESH
948, completed - requirements ended  ," , 2nd lane, Sujatha Nagar,Lawyer Pet Extension,,Andhra Pradesh  523002 ", (08592) 221209 / 281738  ,"",ANDHRA PRADESH
949, completed - requirements ended  ," , Gramin Lok Seva Mandal, 104-5 Harata Apartment,,Near Dr Ambedkar Statue,,Maharashtra  410202 ", 0091-21-48221413  ,"",MAHARASHTRA
953, completed - requirements ended  ," , P.O-Pulsita,P.S.Kolaghat,,,Pulsita,West Bengal  721154 ", (03228) 256-679/ 257-573  ,"",WEST BENGAL
954, Proposal - Closed  ," , VIII Danopur (East of Distt Jalil) P.O & Distt,,,Uttar Pradesh  274001 ", +91-5568-229401  ,"",UTTAR PRADESH
955, completed - requirements ended  ," , ,,Vill + P.O. - Baghmundi,West Bengal  723152 ", 91-03252 - 250335/250533/2503  ,"",WEST BENGAL
956, current / ongoing  ," , Thenur Village,T. Kalathur via Kunnam Taluk,Perambalur,Tamil Nadu  621114 ", 011 91 4327234644  ,"",TAMIL NADU
957, Support ended.  ," , 17/9, 5TH STREET, SRINIVASA NAGAR,,THIRUVANAI KOIL, TRICHY,Tamil Nadu  620 005 ", +91-944-262-4589  ,"",TAMIL NADU
958, completed - sustainable  ," , P. O. Gohaldanga,,Gohaldanga,West Bengal  721232 ", 91-9830264191  ,"",WEST BENGAL
961, completed - requirements ended  ," , 63-A Vyom Prasth, G.M.S Road,,,Dehradun,Uttaranchal  248001 ", 91-135-6532937; 91-135-2722097  ,"",UTTARAKHAND
964, completed - requirements ended  ," , 1527,Golf Club Road,Yerwada,Pune,411006,,Pune,Maharashtra  411006 ", 91-20-26692910  ,"",MAHARASHTRA
966, completed - requirements ended  ," , Patte, Post Badagannur,Karnataka-,,Karnataka   574334 ",   ,"",KARNATAKA
967, current / ongoing  ," , Sittilingi,Theerthamalai P.O.,Sittilingi/ Kottapatti,Tamil Nadu  636906 ", 8098398762  ,"",TAMIL NADU
969, completed - requirements ended  ," , Ushagram Trust,P.O.- Birnagar,,Vill.- Ushagram,West Bengal  741127 ", +91 (03473) 261-084  ,"",WEST BENGAL
970, current / ongoing  ," , B 8, Bapu Nagar,Senthi,Senthi,Rajasthan  312025 ", 91-1472-243788  ,"",RAJASTHAN
972, completed - sustainable  ," , Sector 10A, Near Lions Public School,Gurgaon,Haryana  122001 ", 91-9910063867  ,"",HARYANA
973, completed - requirements ended  ," , No. 800 - C, Gokulam Nagar,Vengikkal Post,Tiruvannamalai,Tamil Nadu  606604 ", 011-91-4175-232224  ,"",TAMIL NADU
974, completed - sustainable  ," , No: 800 - C, Gokulam Nagar,Vengikkal Post,Tiruvannamalai,Tamil Nadu  606604 ", +91-4175-232224  ,"",TAMIL NADU
975, completed - requirements ended  ," , No. 4, A-Block, St. Paul’s Complex, Bharathiar Salai,,Thiruchirapalli,Tamil Nadu  620001 "," 0091-431-2413434, 2463434  ","",TAMIL NADU
976, completed - requirements ended  ," , At+Po-Kamalpur, Via-Kanauli Bazar, Distt-Supaul,,,Bihar  847451 ", +91-9934251400  ,"",BIHAR
977, completed - requirements ended  ," , Shanthi High School for physically challenged children,Sivasailam,Alwarkurichi (via)  Tirunelvel,Tamil Nadu  627412 ", 04634-283344  ,"",TAMIL NADU
982, current / ongoing  ," , 107 Nemmellikuppam Perur Post,,Mamallapuram,Tamil Nadu  603104 ", 9840676135  ,"",TAMIL NADU
983, completed - requirements ended  ," , ‘Sangeet’, Vill. Surul, P.O. Sriniketan,Dist. Birbhum, West Bengal (India),,West Bengal  731236 ", 03463 – 320185 / (0) 943434811  ,"",WEST BENGAL
984, completed - requirements ended  ," , Sri Ram Goburdhan Charitable Trust ,C 15 Chiragh Enclave,New Delhi,Delhi  110048 ", + 91 9999079705  ,"",DELHI
985, current / ongoing  ," , People First, Gyan Vikas Centre, Nr Magadh University,People First Educational Charitable Trust - Bodhgaya,Gaya,Bihar  824231 ", 0631-220-312  ,"",BIHAR
988, completed - requirements ended  ," , Ojus Medical Institute,Tulip Star, Juhu Tara Road,Juhu, Mumbai,Maharashtra  400049 ", +91 9821322605   ,"",MAHARASHTRA
989, completed - requirements ended  ," , H.No.1-866/120/A/105, Khedkar Layout, Behind Bus Stand,,M.S.K Mill Road,Gulbarga,Karnataka  585102 ", 91-94835 17676  ,"",KARNATAKA
990, current / ongoing  ," , Apna Ghar , B-135/8, Pradhane Gate, Nankari ,IIT,Kanpur,Uttar Pradesh  208016 ", 011 91 9838546900  ,"",UTTAR PRADESH
991, current / ongoing  ," , Vill and PO - Pulsita,Purba Medinipur,Dist.- Purba Medinipur,West Bengal  721134 ", 011-91-322-825-7322  ,"",WEST BENGAL
993, current / ongoing  ," , 6-3-668/10/20,Durganagar colony,Punjagutta,Telangana  500018 ", 040-23402757  ,"",TELANGANA
994, completed - requirements ended  ," , 522, II West Street,Kamaraj Nagar,Thiruvanmiyur,Tamil Nadu  600041 ", 9444457411  ,"",TAMIL NADU
995, completed - requirements ended  ," , 34, Corner Market,Malviya Nagar,,,Delhi  110017 "," +91-11-65641300, +91-98105611  ","",DELHI
998, completed - requirements ended  ," , Surdas Bhavan, Deendayal Nagar,,Gollaguda,Telangana  508 001 ", +91-8682-227920  ,"",TELANGANA
999, current / ongoing  ," , Near Mhada Colony,Korit Road,Nandurbar,Maharashtra  425412 ", 9637871258  ,"",MAHARASHTRA
1000, current / ongoing  ," , Near Mhada Colony,Korit Road,Nandurbar,Maharashtra  425412 ", 9969801037  ,"",MAHARASHTRA
1006, completed - sustainable  ," , 184/14C-2 Jayanagar,,,Thiruvallur,,Tamil Nadu   "," 91-9884080048(C), 91-44-655199  ","",TAMIL NADU
1009, completed - requirements ended  ," , Near Kanjur Marg Police Station, ,Kanjur Marg (E),,Mumbai,Maharashtra  400042 ", 022-25782958  ,"",MAHARASHTRA
1012, completed - requirements ended  ," , Rameshwar Apartments, No1, Rajambal Street,T.Nagar,Chennai,Tamil Nadu  600017 ", 9789014268  ,"",TAMIL NADU
1014, current / ongoing  ," , SULOCHANA GARDENS,Post Box No.001 Tenkasi Road AYIKUDY ,P.O TIRUNELVELI DIST.,Tamil Nadu  627852 ", 011 91 4633 267160  ,"",TAMIL NADU
1015, completed - requirements ended  ," , ,,Kaithi,Uttar Pradesh   ", 09815256848  ,"",UTTAR PRADESH
1017, completed - sustainable  ," , P.O. Nangulpara,,Raghunathpur,West Bengal  712406 ", 03211266347  ,"",WEST BENGAL
1018, current / ongoing  ," , VILL. SUBUDDHIPUR, DE PARA, P.O. BARUIPUR,DIST. SOUTH 24 PARGANAS, KOLKATA, WEST BENGAL,Kolkata,West Bengal  700144 ", 091-033-2433 9865  ,"",WEST BENGAL
1019, completed - requirements ended  ," , People,,Chokkikulam,Tamil Nadu  625 002 ", 91-452-2539520  ,"",TAMIL NADU
1020, completed - requirements ended  ," , Thottumukham,,,Kerala   ", 0484-2625258  ,"",KERALA
1021, completed - requirements ended  ," , 54 Bhimasena Garden Street,,Mylapore,Tamil Nadu  600004 ", 98844-37340  ,"",TAMIL NADU
1022, proposal - received  ," , HOUSE NO. 1-6-39/100/1,Sri Venkata Sai Nagar Colony,West Venkatapuram, Alwal,Andhra Pradesh  500015 ", 91-40-64635664  ,"",ANDHRA PRADESH
1023, completed - requirements ended  ," , A/10, Shobhana, Plot No 311, Andheri (E), Mumbai 400 093,,,Maharashtra  400093 ", 91-9870799243  ,"",MAHARASHTRA
1026, completed - requirements ended  ," , ,,Sundarban Areas,West Bengal   ",   ,"",WEST BENGAL
1027, completed - requirements ended  ," , Indic Society for Education and Development,,1, Swami Enterprises Complex,  Tigrania road, Tapovan Bridge,Nashik,Maharashtra  422011 ", +919820349453  ,"",MAHARASHTRA
1028, rejected  ," , SAMARITAN HELP MISSION,127, Noor Md Munshi Lane Howrah,,West Bengal  711101 ", 9331873584  ,"",WEST BENGAL
1029, current / ongoing  ," , 14/12 Rangaraman complex Madurai main road Kayathar,,Thoothukkudi,Tamil Nadu  628952 ", 91-9884437340  ,"",TAMIL NADU
1031, completed - requirements ended  ," , C/o Jayaprakash Narayan Memorial Trust,,1654 ATS Greens Village, Plot #1 Expressway, Sector 93A,Noida,Uttar Pradesh  201303 ", +91 120 4317884/ 9818875056  ,"",UTTAR PRADESH
1032, proposal - received  ," , Bhavdhara Academy,Chandansar (Katkari Pada),Virar ,Maharashtra  401305 ", 0091-250-2524567  ,"",MAHARASHTRA
1033, completed - requirements ended  ," , First Gate, AT/PO Berhampur, Dist Ganjam, Orissa,AT/PO Berhampur,Berhampur,Orissa  760001 ", 06802270812  ,"",ODISHA
1035, current / ongoing  ," , Udaypura,,Dungarpur,Rajasthan  314001 ", 011 079-26305041  ,"",RAJASTHAN
1036, completed - requirements ended  ," , Puvidham Rural Development Trust,Nagarkooda Village & Post, ,,Tamil Nadu  636803 ", +91-4342-311641  ,"",TAMIL NADU
1040, completed - requirements ended  ," , No 7/4, Besant Road,Royapettah,Chennai,Tamil Nadu  600014 ", +91-44-28350403  ,"",TAMIL NADU
1042, current / ongoing  ," , 121/396, Shastri Nagar, ,behind C L Memorial hospital.,Kanpur,Uttar Pradesh  208001 ", 091 99560 79347  ,"",UTTAR PRADESH
1044, current / ongoing  ," , GC-1, 1st Floor, Sector-III, Salt Lake City,Kolkata,West Bengal  700106 ", 913323587241  ,"",WEST BENGAL
1045, completed - sustainable  ," , No. 633/634, “Deepam”,4th C Main, 6th B Cross OMBR Layout (Bhuvanagiri) Banaswadi,,Bangalore,Karnataka  560043 ",   ,"",KARNATAKA
1046, completed - requirements ended  ," , 104, Mahatma Gandhi Road,R. C. THAKURANI, JOKA,Kolkata,West Bengal  700014 ", +91 9830028007  ,"",WEST BENGAL
1048, completed - things went wrong  ," , Vill & P.O- Shaikhpara, P.S- Raninagar ,,,West Bengal  742308 "," 03481-242502, 03481-242188   ","",WEST BENGAL
1050, completed - requirements ended  ," , Welfare Society for Destitute Children,Mt. Mary Road, Next to Mount Mary Convent,Bandra(W),Maharashtra  400050 ", 2642-2859  ,"",MAHARASHTRA
1053, completed - requirements ended  ," , Drksâkshi Bâlângan, Near Ajay Poultry Farm, ,Supela Purani Basti, PO Supela, ,Durg, Chattisgarh,Chhattisgarh  490023 ",   ,"",CHHATTISGARH
1055, Support ended.  ," , Village: Kanchuri,,Contai,West Bengal  721401 ", 9232706050  ,"",WEST BENGAL
1056, rejected  ," , C/o The Timbaktu Collective, ,Chennekotha Palli Village (post),Chennekotha Palli,Andhra Pradesh  515101 "," +91 8559 202335/339, 240335/33  ","",ANDHRA PRADESH
1058, completed - requirements ended  ," , C-24 B, Second Floor,,Kalkaji,New Delhi ,Delhi  110019 "," +91 11 2644 0619, +91 11 2621   ","",DELHI
1059, Support ended.  ," , Old number 115, New number 30,PS Sivasami Salai,Mylapore, Chennai,Tamil Nadu   ", 044-24992450  ,"",TAMIL NADU
1062, completed - requirements ended  ," , ,,Khirkhi Village,Delhi   ",   ,"",DELHI
1063, completed - requirements ended  ," , Bhuvana Foundation Thuvaipathy Road, ,,Anaikatty,Tamil Nadu  641108 ", 44-24344433  ,"",TAMIL NADU
1064, completed - requirements ended  ," , ,,,West Bengal   ",   ,"",WEST BENGAL
1065, completed - requirements ended  ," , 18/11B Fern Road,,Kolkata,West Bengal  700019 ", 2461 0224  ,"",WEST BENGAL
1066, completed - requirements ended  ," , Asha Bangalore Chapter,,Bangalore,Karnataka   ",   ,"",KARNATAKA
1067, current / ongoing  ," , Ground floor Paradise II building Mukteshwar Ashram Rd Opp,, Opp Mukteshwar Ashram  Opp. IIT Main Gate Powai,Mumbai,Maharashtra  400076 ", 022 25787466  ,"",MAHARASHTRA
1068, current / ongoing  ," , Nithari Village,Sector 31,NOIDA,Uttar Pradesh  122002 ", 011 91 124 4056116  ,"",UTTAR PRADESH
1069, completed - requirements ended  ," , V.R. Puram Mandal,,Rekhapally,Telangana  507135 ", 08748 286863  ,"",TELANGANA
1070, completed - requirements ended  ," , 1, Shivaji Nagar, Near Gas Claim Court, Behind MPEB Office,,,Bhopal,Madhya Pradesh  462016 ", 91-755-4293399  ,"",MADHYA PRADESH
1071, Proposal - Closed  ," , Trinita Society for Social Education and Health Research,19, Kankulia Road,Kolkata,West Bengal  700029 ",   ,"",WEST BENGAL
1072, completed - things went wrong  ," , Chawlpeth , Agashi,,Vasai ,Maharashtra  401302 ",   ,"",MAHARASHTRA
1073, completed - requirements ended  ," , H-8, Sahas Society, Garkheda Parisar,Near Ganesh Mandir,Aurangabad,Maharashtra  431005 ", 91-9822194220  ,"",MAHARASHTRA
1074, terminated  ," , Pandhari Baba Behind Kolhatkar Smarak Temple ,Nr Railway Station ,Khamgaon,Maharashtra  444303 ", 9420183250  ,"",MAHARASHTRA
1075, completed - requirements ended  ," , My Home & My School,,Basava Seva Trust,Kodakkirai,Tamil Nadu  635102 ",   ,"",TAMIL NADU
1076, completed - requirements ended  ," , H.No: 42-93/2, Plot No. 245, ,Jawahar Nagar Colony, Moula-Ali, Hyderabad,Telangana   ", 040 27142025  ,"",TELANGANA
1077, completed - requirements ended  ," , H.No. 1-10/2, Plot No. 53,Mamatha Nagar Colony, Nagole,Hyderabad,Telangana  500068 ", 91 9885472959  ,"",TELANGANA
1078, completed - sustainable  ," , Spandana Voluntary Organization,Palangi village,Palangi village,Andhra Pradesh  534211 ", 011-91- 9397646210  ,"",ANDHRA PRADESH
1079, rejected  ," , 62B, Alipore Road, ,,Kolkata,West Bengal  700027 ", (033) 2448-0018  ,"",WEST BENGAL
1080, completed - requirements ended  ," , Arogya Bhavan, Zhirnya Road,,Bhikangaon,Madhya Pradesh  451331 ", 09425950085  ,"",MADHYA PRADESH
1081, completed - sustainable  ," , The Benentech Initiative,,486 Double Storey New Rajinder Nagar,New Delhi,Delhi  110060 ",   ,"",DELHI
1082, current / ongoing  ," ,  F 2, First Floor, ,Lado Sarai,,New Delhi,Delhi  110030 ", 91-11-29522112  ,"",DELHI
1084, completed - requirements ended  ," , LITERACY INDIA LEARNING CENTER , VILLAGE – BHATI KHURD,Near Sawan Public School, Radha Swami Satsang Gate 2,,Delhi  110074 ",   ,"",DELHI
1085, completed - requirements ended  ," , 1089, Shivaji Road Opp. Shrinath Talkies Budhwar Peth,,Pune,Maharashtra  411016 ", +91 (020) 65287297  ,"",MAHARASHTRA
1086, completed - requirements ended  ," , Yuvajyothi,B-145, St.Martin Nagar,Jaripatka, Nagpur,Maharashtra  4400 ", 91 712 2630615  ,"",MAHARASHTRA
1087, completed - requirements ended  ," , Gate No 1 Bunglow No 2, Fergusson College Campus,Fergusson College Road,,,Maharashtra  411004 "," +91 (20) 25660574, 25662364  ","",MAHARASHTRA
1088, completed - requirements ended  ," , D.No 1-114/7, F-3, Sri Simhadri Residency,Purushottampuram Colony, Sujatha Nagar (P.O.),Visakhapatnam,Andhra Pradesh   ", +91 998 545 8017  ,"",ANDHRA PRADESH
1089, completed - sustainable  ," , 37, Pozhichalur Main Road,,Pammal,Tamil Nadu  600 075 ", 91 44 22482710  ,"",TAMIL NADU
1090, completed - sustainable  ," , CWC Regional Resource Centre,Kanyana Post, Near Hattiangadi,Kundapura,Karnataka  576 230 ", 91-8254264210  ,"",KARNATAKA
1091, completed - requirements ended  ," , 184/14C-2 Jayanagar,,,,Tamil Nadu   "," 91-9884080048(C), 91-44-655199  ","",TAMIL NADU
1092, Support ended.  ," , M S Swaminathan Research Foundation,Community Agrobiodiversity Centre, Puthurvayal P.O.,,Kalpetta,Kerala  673121 ", 091-4936-204477  ,"",KERALA
1093, completed - requirements ended  ," , Children,Vemavaram Village,K.Tadepalli Panchayath,Andhra Pradesh  520010 ", 91-866-2473056  ,"",ANDHRA PRADESH
1094, completed - requirements ended  ," , Ajay Patel Mankaiya, Mirzamurad Varanasi ,Uttar Pradesh, India,Mankaiya,Uttar Pradesh  221307 ", +91 9935956075  ,"",UTTAR PRADESH
1095, current / ongoing  ," , Swami Vivekananda Youth Movement,Hanchipura Road,Saragur,Karnataka  571121 ", 91-8228-265412  ,"",KARNATAKA
1097, completed - requirements ended  ," , Rishi Valley Education Center,Krishnamurti Foundation India,Madanapalle,Andhra Pradesh  517352 ", 011 91 8571280622  ,"",ANDHRA PRADESH
1098, completed - requirements ended  ," , Rishi Valley Education Center,Krishnamurti Foundation India,Madanapalle,Andhra Pradesh  517352 ", +918571280622/280582  ,"",ANDHRA PRADESH
1099, completed - sustainable  ," , Vill+ Post : Purba Shridharpur, PS: Raidighi,,,West Bengal  743383 ", +919830967257  ,"",WEST BENGAL
1100, completed - requirements ended  ," , ,,,Delhi   ",   ,"",DELHI
1102, current / ongoing  ," , E 48 Greater Kailash Enclave II,N/A,New Delhi,Delhi  110048 ", 91 11 0 29221320  ,"",DELHI
1103, completed - requirements ended  ," , Trinita Society for Social Education and Health Research,19, Kankulia Road,,West Bengal  700029 ", 9433079313  ,"",WEST BENGAL
1104, completed - things went wrong  ," , Vijaya Lakshmi Nilayam, 4th floor,Saroor Nagar,Hyderabad,Telangana   ", +91-40-32588838  ,"",TELANGANA
1105, completed - requirements ended  ," , Munshi mohallah,,Jamshedpur,Jharkhand  831002 ",   ,"",JHARKHAND
1106, completed - requirements ended  ," , ,,,Tamil Nadu   ",   ,"",TAMIL NADU
1107, current / ongoing  ," , 110, Parimal Anand Park,Aundh,Pune,Maharashtra  411007 ", + 91 97 66 337 431  ,"",MAHARASHTRA
1108, completed - requirements ended  ," , Mandra Lions Club,Vill + P.O. -Baghmundi, Puruliya District ,Baghmundi,West Bengal  723152 "," +91-03252-250381, 9434033145  ","",WEST BENGAL
1109, current / ongoing  ," , Timbaktu Collective,CK Palli ,Chennakothapalli Village,Andhra Pradesh  515101 ", 91855940335  ,"",ANDHRA PRADESH
1112, completed - sustainable  ," , 227, 6th Cross, ST bed area,Koramangala (Behind Maharaja Hotel),Bangalore,Karnataka  560034 ", 961-112-8163  ,"",KARNATAKA
1113, completed - requirements ended  ," , 1/24, Hanumanthappa Layout, Ulsoor Road,,,Bangalore ,Karnataka  560008 ", 91 8025593335  ,"",KARNATAKA
1120, completed - requirements ended  ," , No.1.Subedhar Pallayam Road,,Yeshwanthpur,Karnataka  560022 ", 011-91- 09342883935  ,"",KARNATAKA
1121, completed - requirements ended  ," , Purba Sridharpur,Raidighi,Purba Sridharpur,West Bengal  743383 ", +91 9932176287  ,"",WEST BENGAL
1122, current / ongoing  ," , 3/2, Karpaga Vinayagar Kovil Street,Alandur,Chennai,Tamil Nadu  600016 ", 011-91-87544-13255  ,"",TAMIL NADU
1123, completed - requirements ended  ," , Sardapally, Village - Baghmundi,Post - Baghmundi,Baghmundi,West Bengal   ", 9434033145  ,"",WEST BENGAL
1125, completed - requirements ended  ," , Mandra Lions Club,Vill + P.O. - Baghmundi,Baghmundi,West Bengal  723152 "," 91-03252-250381,9434033145  ","",WEST BENGAL
1127, completed - requirements ended  ," , Village - Kashmuli, PO- Porolda, PS -Belda,Paschim Midnapur,Midnapore,West Bengal  721445 ", 011 91 33 23349945  ,"",WEST BENGAL
1128, current / ongoing  ," , No 11 Avatar apts, ,27 Balakrishnan Road, Valmikinagar, ,Thiruvanmiyur,Tamil Nadu  600041 ", 044 24455568  ,"",TAMIL NADU
1129, completed - requirements ended  ," , A/3 Untra Co-op Housing Society,Lt. Gupte Road  ,Mahim Mumbai,Maharashtra  400006 ", +912224467308  ,"",MAHARASHTRA
1130, current / ongoing  ," , H.No.2-53/2, Chaithanyapuri,Dilsukhnagar,Hyderabad,Telangana  500060 ", 09908221082  ,"",TELANGANA
1131, completed - requirements ended  ," , Gandhipadia,,,Orissa  752056 ",   ,"",ODISHA
1133, completed - requirements ended  ," , ï¿½Shivaiï¿½ Plot # 11,Yashwantnager,Sangli,Maharashtra  416416 ", (+91-233)-231-3122  ,"",MAHARASHTRA
1134, completed - requirements ended  ," , Lok Biradari Prakalp Hemalkasa,Bhamragad,Hemalkasa,Maharashtra  442710 ",  91 7134 220001  ,"",MAHARASHTRA
1135, completed - requirements ended  ," , A-17, Ashok Vihar, Near Babul Paradise Marriage Garden,,New Sanganer Road, Mansarovar,Jaipur,Rajasthan  302020 ", 91 98280 15081  ,"",RAJASTHAN
1137, completed - requirements ended  ," , Moirang Lamkhai,Moirang,Moirang,Manipur  795133 "," +919856424724,+919436295832  ","",MANIPUR
1138, current / ongoing  ," , C-1, Shanti Vihar Colony, P.O. BV College,Ambedkar Path,Patna,Bihar  800014 ", 011 91 9204056412  ,"",BIHAR
1139, rejected  ," , Madanapuram (Village) Nivagam (via) Srikakulam (Dist),Andhra Pradesh India - 532457 ,Madanapuram,Andhra Pradesh  532457 ", 0091-9866656209  ,"",ANDHRA PRADESH
1140, completed - requirements ended  ," , Asha Mumbai Center, Powai nook  bldg,,Opp. Tirandaj village Municipal School, Opp  IITB main gate,,powai ,Maharashtra  400076 ", 91-22-2578 7466  ,"",MAHARASHTRA
1141, completed - requirements ended  ," , ,,Totopara,West Bengal   ",   ,"",WEST BENGAL
1142, current / ongoing  ," , New No.2, (Old No.28) Besant Avenue,,Besant Nagar,Chennai,Tamil Nadu  600090 ", 91-984109142  ,"",TAMIL NADU
1143, current / ongoing  ," ,  F 2,Fourth Floor,Lado Sarai,Delhi  110030 ", 91-9818705715  ,"",DELHI
1144, completed - things went wrong  ," , Bachhara Patna,Jatni,Khurda,Orissa   ",   ,"",ODISHA
1145, completed - requirements ended  ," , D-Lakshmi Sree Apartments, Vedha Nagar,,Chinmaya Nagar Stage II Ext,Chennai,Tamil Nadu  600092 ", 91 9840295650  ,"",TAMIL NADU
1147, completed - requirements ended  ," , H.No: C-835, N.G.O’s colony,,Vansasthalipuram,Hyderabad,Telangana  500070 ", 9959172223  ,"",TELANGANA
1151, completed - requirements ended  ," , No.294, 4th Cross, 8th Main Dollars Colony ,JP Nagar 4th phase,Bangalore ,Karnataka  560078 ", +91 9845169366  ,"",KARNATAKA
1153, current / ongoing  ," , Ramakrishna Mission Ashrama Sargachi,P.O. - Sargachi Ashrama  Dist. - Murshidabad ,Beldanga,West Bengal  742408 ", 011 91 3482232222  ,"",WEST BENGAL
